train_id,name,item_condition_id,category_name,category_name 1,category_name 2,category_name 3,category_name 4,category_name 5,brand_name,price,high_priced,shipping,item_description,has_offer
239,Zagg invisible shield for IPad air,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,10.0,0,1,Zag invisible shield for IPad air,0
742,iPad Pro Smart Cover,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,31.0,0,0,iPad Pro Smart Cover in Lilac Made for iPad Pro - 9.7 inch Polyurethane Cover magnetically aligns itself. Open or close to wake or sleep iPad.,0
1700,LIKE NEW KOBO eReader Tablet Only [rm]!!,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,31.0,0,0,"Selling a tablet literally like new. No scratches, cracks, or blemishes. Item is fully functional and very fast. Great thing to have in the office or at home, also great Christmas present. Item is a steal at this price.",0
2923,Vuru tablet. 7 inch.,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,26.0,0,0,"Vuru tablet. Perfect for children. It does have a few scratches on the screen. Comes with charging cable and the box it came in. It does work. Absolutely nothing wrong with it other than the few scratches. Great for reading, or small games. Price is firm.",0
3394,iPad 1st generation,5,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,20.0,0,1,For parts or repair,0
3880,iPad 6/iPad Air 2 Kid's Tablet case,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Unbranded,12.0,0,1,Keep the kid's busy during the summer Fits iPad 6/Air 2 Integrated polycarbonate screen protector and kickstand Color Black and Blue,0
4159,iPod Touch,4,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,19.0,0,0,1st Gen iPod Touch Everything works No scratches or cracks on screen Only problem is that thing on the screen (its not a crack),0
4287,Apple Wireless Keyboard,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,26.0,0,0,"Apple Wireless Keyboard. Used twice. Includes original box and manual. In brand new condition. Model A1314 Bluetooth enabled Mac computer with Mac OS X v10.6.8 or later. Smoke free home. No free shipping, happy to combine shipping on bundled purchases.",0
5468,iPad,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,106.0,1,0,iPad in perfect condition! I just got a laptop and do not have a use for it anymore.,0
5651,Alcatel One Touch,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Samsung,30.0,0,1,T-Mobile Carrier Comes with leather case 9015w model Charger included,0
5819,"Bag for IPad, tablets, and netbooks.",1,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Targus,10.0,0,1,"Citygear mini for IPad, tablets, and netbooks. New and free shipping!",0
6900,Barnes And Noble Giftcard,5,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,11.0,0,0,I have no information on this nook! It needs a charger and as far as I know works! Has small scratches (pictured) on front grey surface!,0
7216,Tablet,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,AmazonBasics,34.0,0,1,"I got this for Christmas but I have an iPhone I've only used it a few times to play games that were free on this App Store and not on my iPhone, charges fine and comes with original charger , it has a front and back camera ! Great for kids to play games with",0
7734,Kindle Fire HD 7 inch 8gb,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,36.0,0,0,"Kindle fire HD 7 inch HD display Wifi 8gb Previous generation 3rd 1280*800 high definition LCD display 1.5 GHz dual-core processor In great condition No scratches on screen Slight wear on casing but no dents, ect. Smoke free home Shipment within 1 business day after receiving payment!",0
8230,Samsung Galaxy Tab 3,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Samsung,41.0,0,0,Lightly used comes with charger and case works 8gb but can use a sd card for extra memory I got the original box for it as well,0
8329,Apple iPad AIR 2 16 gb Wifi Gold,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,141.0,1,0,Clean iPad Air,0
8698,Tab,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Samsung,25.0,0,1,Samsung galaxy tab 3 lite Wifi edition Storage 8gb Android 4.2.2 **Be sure to read my bio before buying. Thank you**,0
8880,Glass screen protector for IPad mini 2-3,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,8.0,0,1,Glass screen protector for IPad mini 2 or 3,0
9513,iPad 4/3/2 360 rotating case,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,11.0,0,0,high quality case,0
10263,Apple Pencil Brand New,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,88.0,0,1,Got this with an iPad and would like to sell it since I recently sold my iPad and no longer would need it. Never been opened.,0
11117,Microsoft Surface 2,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Microsoft,90.0,0,1,Excellent condition Microsoft Surface 2 RT w/Keyboard and travel / home charger. Storage2 and Memory 64GB 2GB RAM Display Screen: 10.6 inch Resolution: 1920 x 1080 Aspect Ratio: 16:9 (widescreen) Touch: 5-point multi-touch Durable display CPU and Wireless NVIDIA Tegra 4 (T40) 1.7 GHz Quad Core Wi-Fi (802.11 a/b/g/n) Bluetooth® v.4.0 technology Battery Life Up to 10 hours of video playback 7-15 days idle life Charges in 2-4 hours with included power supply,0
11973,Shift lookbook wirless reader,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,33.0,0,1,Lookbook reader wireless reader over 2 million books at your fingertips take a look,0
12114,Ipad mini case,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,12.0,0,0,I pad mini protected case. Regular price was [rm] selling for [rm] comment if interested. I also have this case in pink.,0
12946,Apple iPad mini,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,89.0,0,0,"Works perfectly, I just have no need for it!",0
13101,Nexus 7 16GB,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,ASUS,71.0,0,0,"Hardly used, like new android tablet. Bought it for school but ended up not needing it. It's the Second Gen 2013 16GB Nexus 7 by ASUS. PS3 controllers can connect to this for games. Includes - Wall charger - Stylus - OTG cable - Green magnet case",0
13469,IPAD AiR 1ST GEN 32GB,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,175.0,1,1,"64 GB It has been in the case since I got it. The device itself has no marks or anything. Wi-Fi only. Its charger will be included For the screen case, its has smudges but I will clean it before it is shipped.",0
13637,iPod Nano 3rd Generation With Headphones,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,30.0,0,1,It has been used only once and comes with headphones and a carrying case. The headphones have never been used either.,0
13870,iPad Pro 9.7 Rose Gold 32 GB,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,466.0,1,0,"***Selling for a friend so all questions will be answered with some time*** Practically new and only used just to look at and turn on to see features, so very excellent condition 9.7 in. 32 GB Comes with box and everything that was in the box PRICE MAY BE NEGOTIABLE ***Selling for a friend so all questions will be answered with some time***",0
13871,"iPad Pro 10.5"" Marble Case",1,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,6.0,0,1,"*FOR IPAD PRO 10.5"" ONLY! Made by top grade TPU, using the best printing technology, the image is vivid. Durable and Eco-Friendly Slim Fit, does not make your iPad look bulky; Protects your device from scratches, bumps, and dings. *BUNDLE FOR 15% OFF* *MY ITEMS ARE LISTED IN OTHER STORES SO DON'T THINK TWICE, BUY NOW AS IT MIGHT NOT BE AVAILABLE LATER!*",0
13877,Marc by Marc Jacobs Tablet Case,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,12.0,0,0,"Perfect condition 8 1/2"" X 10 1/2"" 100% Polyester",0
13998,Apple Ipad Mini 16gb White 1 Generation,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,91.0,0,0,1st gen. Apple ipad mini 16 gb in good condition. Minor scratch on screen does not cause issue with use sticker residue on back side. No charger. Comes with case Price is non negotiable.,0
14035,Samsung tablet,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Samsung,50.0,0,1,Good condition AT&T 3G not associated with any account Wifi connectivity 16GB internal storage plus microSD slot 30gb card included,0
14604,12.9 iPad Pro Keyboard,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,80.0,0,0,"I have 2 keyboards so I barely used this one , like new condition, hope you like it",0
14706,16GB iPad Air A1475,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,140.0,1,1,"16 GB iPad Air A1475 Amazing condition with one minor flaw as depicted by photo. This doesn't affect iPad functionality and is barely noticeable. The screen has professional screen cover on to protect the glass. Comes with a charger. iPad has been reset, iCloud unlocked, and is ready for a new home :)",0
14874,Fossil iPad case,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Unbranded,16.0,0,0,Brown leather iPad case like new,0
15066,"UNIVERSAL Tablet 7-8"" Case",1,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,14.0,0,1,"Brand is Werx. This can used as an e-reader case or tablet case. It's universal so it fits with most devices up to a 10.1 inch screen. It has an integrated stand for vertical view and horizontal view. This can be used for iPad, Samsung galaxy tab (10inches), kindle fire 8.9"", google nexus 10, trio stealth 9.7"", Acer A700, ASUS 10.1"" infinity, Cruz 510, Digitix TAB-1030, next book premium 10SE, Toshiba Excite 10, and many others. This protective case is designed specifically to fit most tablets and E-readers with up to a 10.1 inch screen. Includes a stylus holder and made from high quality materials. Has a soft, protective inner-lining and a magnetic outer strap that firmly snaps for added security and folds neatly back when in use.",0
15424,IPad Mini 1st Gen 16 GB,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,81.0,0,0,16 GB Space Gray Wifi,0
15772,iPod Touch 16gb,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,59.0,0,0,Comes with case and only has front camera! Willing to negotiate,0
17096,Apple keyboard,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,12.0,0,0,Used but still works perfectly Made by Apple Works with any older generation iPhone or iPad,0
17756,Ipod touch 5th gen,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,27.0,0,1,"iPod Touch 4th Generation, fully working, good condition, Doesn't come with charger, but uses the 32-Pin charger. 8 GB storage, factory reset and ready to go.",0
19005,"Tablet 7"" used a few times",2,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Unbranded,30.0,0,1,Like new condition,0
19106,White iPad 2,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,101.0,1,0,"White regular 16 GB iPad 2 in nearly perfect condition. I've kept it in a case since the day I purchased it. There are only a few minor scratches near power port. Fully functioning, no issues. Running iOS 9.3.5",0
19899,NEW Otterbox Defender Case for iPad 4/2,1,Electronics/Computers & Tablets/iPad/Tablet/eBook Access,Electronics,Computers & Tablets,iPad,Tablet,eBook Access,Apple,23.0,0,0,"This Otterbox Defender case is brand new in the packaging. It is for the iPad 4th generation, new iPad, and iPad 2. Includes warranty. Feel free to make an offer.",1
19948,iPad 1st generation,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,75.0,0,1,Very good condition Ipad it is the 1st generation clean imei and no icloud lock Comes with a charger and a sleeve case!,0
20761,iPad mini,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,91.0,0,0,I don't need it anymore no cracks few scratches,0
21142,iPad Mini 16gb,3,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,Electronics,Computers & Tablets,iPad,Tablet,eBook Readers,Apple,103.0,1,0,iPad mini 16gb very well taken care of. Just want an upgrade. Works perfectly fine with basic use. Comes in original apple box with charger. I also have a Michael Kors case that I would sell for [rm] plus the price with the IPad.,0
