a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
Country,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,2000 Notes,2000 Source,2001 Notes,2001 Source,2002 Notes,2002 Source,2003 Notes,2003 Source,2004 Notes,2004 Source,2005 Notes,2005 Source,2006 Notes,2006 Source,2007 Notes,2007 Source,2008 Notes,2008 Source,2009 Notes,2009 Source
Afghanistan,,0.00472256824217368,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.9,1.84,3.55,,,,,ITU estimate.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications & Information Technology,,Ministry of Communications & Information Technology,,Ministry of Communications & Information Technology
Albania,0.114097346552109,0.325798377067964,0.39008127343332,0.971900415195857,2.42038779776014,6.04389086404814,9.60999131577118,15.0361154084109,23.8603425518032,41.2008984331298,,,Albanian Telecom Enterprise.,,Albanian Telecom Enterprise.,,Albanian Telecom Enterprise.,,Ministry of Transport and Telecommunications.,,Ministry of Transport and Telecommunications.,,Ministry of Transport and Telecommunications.,,ITU estimate. ,,ITU estimate.,,Ministry of Public Works Transport and Telcommunication estimate. ,,Ministry of Public Works Transport and Telcommunication estimate. 
Algeria,0.491705679141589,0.646114016703792,1.59164126035832,2.19535973086144,4.63447508776537,5.84394209201256,7.37598495634886,9.45119062555304,10.1822844193651,13.4687969527277,,,,,,,,,,,,,,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,WebDialn@ survey carried out by Med& Com.
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,10.53883560922,,11.2604687170103,13.546412876439,26.8379543894637,37.6057662174867,48.9368469989479,70.87,70.04,78.53,,,Servei de Telecomunicacions d'Andorra (STA).,,,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Andorra Telecom,,Andorra Telecom,,Andorra Telecom
Angola,0.105045562462262,0.136013867429868,0.270376745595134,0.370682065225727,0.464814617985909,1.1433668265595,1.90764750723428,2.84,3.05,3.28,,,,,,,,,,,,,,,,,Angolan Institut of Communications,,Angolan Institut of Communications,,Angolan Institut of Communications
Anguilla,22.4054490051981,25.8843830888697,24.8036378668871,24.5233763151649,25.0436366395993,27.4363476733977,28.3667824976952,22.7806157669474,24.6291801510248,24.4143846915209,,,,,,,,,,,,,,,"Ministry of Infrastructure, Communication & Utilities",,"Ministry of Infrastructure, Communication & Utilities",,"Ministry of Infrastructure, Communication & Utilities",,
Antigua & Barbuda,6.48222573702907,8.89928551450583,12.5,17.2286487816884,24.2665437161785,34.7164029018124,62.6388691911313,70.06,75.03,74.2,,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,ITU estimate.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,ITU estimate.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,"Ministry of Information, Broadcasting and Telecommunications",,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,Decrease due to economic down turn.,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.
Argentina,7.0386830862178,9.78080728532407,10.8821243775325,11.9136965509954,16.0366841054923,17.7205833696065,20.9272021035896,25.9466329403819,28.1126234799907,34.0,,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,Comisión Nacional de Comunicaciones
Armenia,1.30047002237784,1.63109466677715,1.9604050458212,4.57521722477781,4.8990085713054,5.25298335195804,5.63178777731609,6.02125339712607,6.20716931305485,6.75326983789233,,,,,,,,,,,,,,,,,ITU estimate.,,Based on RCC data.,,ITU estimate.
Aruba,15.4428229480349,25.879079998706,25.2868476783513,24.7188233840069,24.202331491267,23.7539094976048,23.3694911293307,23.0379358009522,22.758522592575,22.530345559175,,,Servicio di Telecomunicacion di Aruba (SETAR).,,Servicio di Telecomunicacion di Aruba (SETAR).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Servicio di Telecomunicacion di Aruba (SETAR).,,Servicio di Telecomunicacion di Aruba (SETAR).,,ITU estimate.,,ITU estimate.
Australia,46.7561156116738,52.6892664310395,57.5842677190676,59.470775131783,61.3529512553858,63.0,66.0,69.45,71.67,74.25,,,ABS Household Use of Information Technology Survey.,,ITU estimate.,,,,,,,Population age 15+.,Australian Bureau of Statistics.,Population age 15+.,Australian Bureau of Statistics. ,Population age 15+.,Australian Bureau of Statistics.,Population age 15+.,Australian Bureau of Statistics.,Population age 15+.,Australian Bureau of Statistics.
Austria,33.7301329516915,39.1854501811114,36.56,42.7,54.28,58.0,63.6,69.37,72.87,73.45,,"Regular users of the Internet, Population age 14+.",Austria Internet Monitor.,"Regular users of the Internet, Population age 14+.",Austria Internet Monitor.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Azerbaijan,0.147757575623251,0.305564637615618,4.99971367812957,,,8.03037535616454,11.9921773343674,14.54,17.08,27.4,,,,,,,,,,,,,,,,,ITU estimate.,Population age 7+.,State Statistical Committee,Population age 7+.,State Statistical Committee
